Exercice;siren;Code commune;Nom Collectivité;Population municipale;Population totale;com_code;tranche_poids_des_logements_sociaux;Tranche revenu par habitant;Commune rurale;Code Officiel Région;Code Officiel Département;Strate population;Outre-mer;Code Officiel EPCI;Compte 2023 Disponible;Commune touristique;Présence QPV;Commune de montagne;Nom Officiel Commune;Population totale du dernier exercice;Nom Officiel Région;Nom Officiel Département;Nom Officiel EPCI;annee_texte
2012;213105679;31567;Vallesvilles;379;387;31567;0;3;Oui;76;31;2;Non;200071298;1;Non;Non;Non;Vallesvilles;447;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213105745;31574;Vernet;2096;2173;31574;9;2;Non;76;31;4;Non;200068807;1;Non;Non;Non;Vernet;3175;Occitanie;Haute-Garonne;Communauté de communes du Bassin Auterivain Haut-Garonnais;2012
2012;213105919;31591;Escoulis;80;80;31591;0;1;Oui;76;31;0;Non;200073146;1;Non;Non;Non;Escoulis;80;Occitanie;Haute-Garonne;Communauté de communes Cagire Garonne Salat;2012
2012;213200017;32001;Aignan;802;891;32001;3;1;Oui;76;32;3;Non;200035632;1;Non;Non;Non;Aignan;769;Occitanie;Gers;Communauté de communes Armagnac Adour;2012
2012;213200090;32009;Armous-et-Cau;95;99;32009;0;0;Oui;76;32;0;Non;243200425;1;Non;Non;Non;Armous-et-Cau;93;Occitanie;Gers;Communauté de communes Cœur d'Astarac en Gascogne;2012
2012;213200124;32012;Aubiet;1107;1132;32012;1;1;Oui;76;32;3;Non;200042372;1;Non;Non;Non;Aubiet;1147;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
2012;213200140;32014;Augnax;85;87;32014;0;2;Oui;76;32;1;Non;200066926;1;Non;Non;Non;Augnax;119;Occitanie;Gers;Communauté d'agglomération Grand Auch Cœur de Gascogne;2012
2012;213200165;32016;Auradé;610;621;32016;0;2;Oui;76;32;3;Non;200023620;1;Non;Non;Non;Auradé;689;Occitanie;Gers;Communauté de communes de la Gascogne Toulousaine;2012
2012;213200264;32026;Bajonnette;105;107;32026;0;1;Oui;76;32;1;Non;200034726;1;Non;Non;Non;Bajonnette;111;Occitanie;Gers;Communauté de communes Bastides de Lomagne;2012
2012;213200298;32029;Barran;720;739;32029;2;1;Oui;76;32;3;Non;200072320;1;Non;Non;Non;Barran;684;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213200314;32031;Bascous;144;146;32031;0;1;Oui;76;32;1;Non;243200458;1;Non;Non;Non;Bascous;174;Occitanie;Gers;Communauté de communes du Grand Armagnac;2012
2012;213200322;32032;Bassoues;372;380;32032;1;1;Oui;76;32;2;Non;243200425;1;Non;Non;Non;Bassoues;333;Occitanie;Gers;Communauté de communes Cœur d'Astarac en Gascogne;2012
2012;213200413;32041;Bellegarde;168;169;32041;0;1;Oui;76;32;1;Non;200072320;1;Non;Non;Non;Bellegarde;169;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213200447;32044;Béraut;340;352;32044;0;2;Oui;76;32;2;Non;243200417;1;Oui;Non;Non;Béraut;310;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213200546;32054;Biran;393;406;32054;0;2;Oui;76;32;2;Non;200066926;1;Non;Non;Non;Biran;390;Occitanie;Gers;Communauté d'agglomération Grand Auch Cœur de Gascogne;2012
2012;213200579;32057;Blaziert;137;142;32057;0;2;Oui;76;32;1;Non;243200417;1;Oui;Non;Non;Blaziert;132;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213200587;32058;Blousson-Sérian;63;64;32058;0;1;Oui;76;32;0;Non;243200508;1;Non;Non;Non;Blousson-Sérian;41;Occitanie;Gers;Communauté de communes Bastides et Vallons du Gers;2012
2012;213200652;32065;Le Brouilh-Monbert;245;256;32065;0;1;Oui;76;32;2;Non;200072320;1;Non;Non;Non;Le Brouilh-Monbert;250;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213200678;32067;Cabas-Loumassès;50;53;32067;0;1;Oui;76;32;0;Non;200072320;1;Non;Non;Non;Cabas-Loumassès;51;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213200686;32068;Cadeilhan;139;140;32068;0;1;Oui;76;32;1;Non;243200391;1;Non;Non;Non;Cadeilhan;139;Occitanie;Gers;Communauté de communes de la Lomagne Gersoise;2012
2012;213200710;32071;Caillavet;192;197;32071;0;1;Oui;76;32;1;Non;243200607;1;Non;Non;Non;Caillavet;187;Occitanie;Gers;Communauté de communes Artagnan de Fezensac;2012
2012;213200751;32075;Cassaigne;211;212;32075;0;1;Oui;76;32;2;Non;243200417;1;Oui;Non;Non;Cassaigne;236;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213200769;32076;Castelnau-Barbarens;493;512;32076;1;1;Oui;76;32;3;Non;200066926;1;Non;Non;Non;Castelnau-Barbarens;557;Occitanie;Gers;Communauté d'agglomération Grand Auch Cœur de Gascogne;2012
2012;213200793;32079;Castelnau-d'Auzan;1079;1105;32079;1;1;Oui;76;32;3;Non;243200458;1;Non;Non;Non;Castelnau d'Auzan Labarrère;1217;Occitanie;Gers;Communauté de communes du Grand Armagnac;2012
2012;213200801;32080;Castelnau-sur-l'Auvignon;164;169;32080;0;2;Oui;76;32;1;Non;243200417;1;Oui;Non;Non;Castelnau-sur-l'Auvignon;147;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213200934;32093;Caumont;127;128;32093;0;1;Oui;76;32;1;Non;200035632;1;Non;Non;Non;Caumont;110;Occitanie;Gers;Communauté de communes Armagnac Adour;2012
2012;213200983;32098;Cazaux-Savès;265;269;32098;0;2;Oui;76;32;2;Non;243200599;1;Non;Non;Non;Cazaux-Savès;333;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213201049;32104;Clermont-Pouyguillès;158;162;32104;0;1;Oui;76;32;1;Non;200035756;1;Non;Non;Non;Clermont-Pouyguillès;163;Occitanie;Gers;Communauté de communes Astarac Arros en Gascogne;2012
2012;213201106;32110;Courrensan;385;389;32110;0;1;Oui;76;32;2;Non;243200458;1;Non;Non;Non;Courrensan;402;Occitanie;Gers;Communauté de communes du Grand Armagnac;2012
2012;213201205;32120;Encausse;378;384;32120;0;2;Oui;76;32;2;Non;200034726;1;Non;Non;Non;Encausse;438;Occitanie;Gers;Communauté de communes Bastides de Lomagne;2012
2012;213201262;32126;Estampes;170;176;32126;0;1;Oui;76;32;1;Non;200035756;1;Non;Non;Non;Estampes;163;Occitanie;Gers;Communauté de communes Astarac Arros en Gascogne;2012
2012;213201296;32129;Estramiac;131;134;32129;0;1;Oui;76;32;1;Non;200034726;1;Non;Non;Non;Estramiac;140;Occitanie;Gers;Communauté de communes Bastides de Lomagne;2012
2012;213201361;32136;Galiax;177;178;32136;1;1;Oui;76;32;1;Non;243200508;1;Non;Non;Non;Galiax;182;Occitanie;Gers;Communauté de communes Bastides et Vallons du Gers;2012
2012;213201403;32140;Gaujac;63;63;32140;0;1;Oui;76;32;0;Non;243200599;1;Non;Non;Non;Gaujac;72;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213201478;32147;Gimont;2845;2908;32147;9;1;Non;76;32;4;Non;200042372;1;Non;Non;Non;Gimont;3078;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
2012;213201593;32159;L'Isle-de-Noé;551;569;32159;1;1;Oui;76;32;3;Non;243200425;1;Non;Non;Non;L'Isle-de-Noé;566;Occitanie;Gers;Communauté de communes Cœur d'Astarac en Gascogne;2012
2012;213201718;32171;Labastide-Savès;132;135;32171;0;2;Oui;76;32;1;Non;243200599;1;Non;Non;Non;Labastide-Savès;182;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213201759;32175;Ladevèze-Ville;270;274;32175;0;1;Oui;76;32;2;Non;243200508;1;Non;Non;Non;Ladevèze-Ville;224;Occitanie;Gers;Communauté de communes Bastides et Vallons du Gers;2012
2012;213201882;32188;Lamothe-Goas;68;70;32188;0;4;Oui;76;32;0;Non;243200391;1;Non;Non;Non;Lamothe-Goas;83;Occitanie;Gers;Communauté de communes de la Lomagne Gersoise;2012
2012;213201916;32191;Lanne-Soubiran;117;120;32191;0;1;Oui;76;32;1;Non;243200409;1;Non;Non;Non;Lanne-Soubiran;145;Occitanie;Gers;Communauté de communes du Bas Armagnac;2012
2012;213201924;32192;Lannux;221;231;32192;0;1;Oui;76;32;2;Non;200030435;1;Non;Non;Non;Lannux;236;Occitanie;Gers;Communauté de communes d'Aire-sur-l'Adour;2012
2012;213202070;32207;Leboulin;296;303;32207;0;3;Oui;76;32;2;Non;200066926;1;Non;Non;Non;Leboulin;357;Occitanie;Gers;Communauté d'agglomération Grand Auch Cœur de Gascogne;2012
2012;213202088;32208;Lectoure;3766;4201;32208;9;1;Non;76;32;5;Non;243200391;1;Oui;Non;Non;Lectoure;4049;Occitanie;Gers;Communauté de communes de la Lomagne Gersoise;2012
2012;213202120;32212;Ligardes;233;238;32212;0;2;Oui;76;32;2;Non;243200417;1;Oui;Non;Non;Ligardes;216;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213202260;32226;Manas-Bastanous;90;92;32226;0;1;Oui;76;32;0;Non;200035756;1;Non;Non;Non;Manas-Bastanous;87;Occitanie;Gers;Communauté de communes Astarac Arros en Gascogne;2012
2012;213202302;32230;Mansencôme;68;68;32230;0;1;Oui;76;32;0;Non;243200417;1;Oui;Non;Non;Mansencôme;49;Occitanie;Gers;Communauté de communes de la Tenarèze;2012
2012;213202369;32236;Marguestau;66;67;32236;0;1;Oui;76;32;0;Non;243200458;1;Non;Non;Non;Marguestau;63;Occitanie;Gers;Communauté de communes du Grand Armagnac;2012
2012;213202385;32238;Marseillan;87;88;32238;0;1;Oui;76;32;0;Non;243200425;1;Non;Non;Non;Marseillan;88;Occitanie;Gers;Communauté de communes Cœur d'Astarac en Gascogne;2012
2012;213202468;32246;Maupas;196;197;32246;0;1;Oui;76;32;2;Non;243200458;1;Non;Non;Non;Maupas;201;Occitanie;Gers;Communauté de communes du Grand Armagnac;2012
2012;213202708;32270;Mongausy;77;80;32270;0;1;Oui;76;32;0;Non;200042372;1;Non;Non;Non;Mongausy;89;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
2012;213202724;32272;Monlaur-Bernet;175;177;32272;0;1;Oui;76;32;1;Non;200072320;1;Non;Non;Non;Monlaur-Bernet;167;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213202740;32274;Monlezun-d'Armagnac;193;199;32274;0;1;Oui;76;32;1;Non;243200409;1;Non;Non;Non;Monlezun-d'Armagnac;199;Occitanie;Gers;Communauté de communes du Bas Armagnac;2012
2012;213202849;32284;Montégut-Savès;73;74;32284;0;1;Oui;76;32;0;Non;243200599;1;Non;Non;Non;Montégut-Savès;66;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213202864;32286;Montestruc-sur-Gers;707;726;32286;2;1;Oui;76;32;3;Non;243200391;1;Non;Non;Non;Montestruc-sur-Gers;717;Occitanie;Gers;Communauté de communes de la Lomagne Gersoise;2012
2012;213202880;32288;Montiron;123;130;32288;0;2;Oui;76;32;1;Non;200042372;1;Non;Non;Non;Montiron;144;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
