Libelle_commune,Annee,Candidats
Bram,2022,"['ADDA--NETTER', 'RANCOULE']"
Bramans,2007,"['LACLAIS', 'BOUVARD']"
Bramans,2012,"['SANTAIS', 'CHARVOZ']"
Brametot,2007,"['TRASSY-PAILLOGUES', 'CHAUVEL']"
Brametot,2012,"['TRASSY-PAILLOGUES', 'CHAUVEL']"
Bramevaque,2007,"['FORGUES', 'LAMON']"
Bramevaque,2012,"['GLAVANY', 'TREMEGE']"
Bramevaque,2017,"['SEMPASTOUS', 'FERRER']"
Bramevaque,2022,"['SEMPASTOUS', 'FERRER']"
Bran,2012,"['DUGAS-RAVENEAU', 'BUSSEREAU']"
Branceilles,2007,"['SOULIER', 'NAUCHE']"
Branceilles,2012,"['COSTE', 'NAUCHE']"
Branches,2007,"['SOISSON', 'LE CORRE']"
Branches,2012,"['FEREZ', 'LARRIVE']"
Brancourt-en-Laonnois,2007,"['DOSIERE', 'BLANCHARD-DOUCHAIN']"
Brancourt-en-Laonnois,2012,"['DOSIERE', 'KARIMET']"
Brancourt-le-Grand,2007,"['MEURA', 'BALLIGAND']"
Brancourt-le-Grand,2012,"['MEURA', 'BRICOUT']"
Brandeville,2007,"['BECQ-VINCI', 'DUMONT']"
Brandeville,2012,"['LEONARD', 'DUMONT']"
Brandivy,2007,"['LE ROCH', 'LORGEOUX']"
Brandivy,2012,"['LE ROCH', 'BLEUNVEN']"
Brando,2007,"['GANDOLFI-SCHEIT', 'ZUCCARELLI']"
Brando,2012,"['SIMEONI', 'ZUCCARELLI']"
Brandon,2007,"['VOISIN', 'ESCHMANN']"
Brandon,2012,"['THEVENOUD', 'VOISIN']"
Brandonnet,2007,"['ROQUES', 'MARCEL']"
Brandonnet,2012,"['TRANIER', 'MARCEL']"
Brandonnet,2017,"[nan, 'BLANC']"
Brandonnet,2022,"['ALEXANDRE', 'DEGUARA']"
Brandonvillers,2012,"['DE COURSON', 'DOREMUS']"
Brandérion,2007,"['LE NAY', 'BAGEOT']"
Brandérion,2012,"['NOGUES', 'LE NAY']"
Branges,2007,"['MONTEBOURG', 'DANJEAN']"
Branges,2012,"['DANJEAN', 'UNTERMAIER']"
Brangues,2007,"['MOYNE BRESSAND', 'FINET-GIRARD']"
Brangues,2012,"['MOYNE-BRESSAND', 'CORBIN']"
Brannay,2007,"['PARIS', 'FORT']"
Brannay,2012,"['SORET', 'FORT']"
Branne,2007,"['PARRENIN', 'BONNOT', 'GARRAUD', 'BUISSON']"
Branne,2012,"['BOUDIE', 'BONNOT', 'GARRAUD', 'MARTHEY']"
Brannens,2007,"['FAURE', 'DUBOURG']"
Brannens,2012,"['FAURE', ""D'AMECOURT""]"
Branoux-les-Taillades,2007,"['MALAVIEILLE', 'ROUSTAN']"
Branoux-les-Taillades,2012,"['VERGNES', 'DUMAS']"
Branoux-les-Taillades,2017,"['DE VIDO', 'GAILLARD']"
Branoux-les-Taillades,2022,"['SALA', 'LAUNAY']"
Brans,2007,"['SERMIER', 'VIVERGE']"
Brans,2012,"['LAROCHE', 'SERMIER']"
Bransat,2007,"['MALLOT', 'SIMON']"
Bransat,2012,"['PERISSOL', 'CHAMBEFORT']"
Branscourt,2007,"['VAUTRIN', 'HAZAN']"
Branscourt,2012,"['VAUTRIN-PENNAFORTE', 'QUENARD']"
Bransles,2007,"['VALLETOUX', 'JULIA']"
Bransles,2012,"['SARKISSIAN', 'LACROUTE']"
Brantes,2007,"['MEFFRE', 'MARIANI']"
Brantes,2012,"['MEFFRE', 'BOMPARD']"
Brantigny,2007,"['FRANQUEVILLE', 'GAULTIER']"
Brantigny,2012,"['FRANQUEVILLE', 'GAULTIER']"
Brantôme,2007,"['LUCAS', 'DEBET']"
Branville,2012,"['AMELINE', 'LE MARREC']"
Branville-Hague,2007,"['GATIGNOL', 'DRUEZ']"
Braquis,2007,"['BECQ-VINCI', 'DUMONT']"
Braquis,2012,"['LEONARD', 'DUMONT']"
Bras,2012,"['AUDIBERT-TROIN', 'CLAP']"
Bras-Panon,2007,"['FRUTEAU', 'AUDIFAX']"
Bras-Panon,2012,"['FRUTEAU', 'FOUASSIN']"
Bras-d'Asse,2007,"['BARREILLE', 'BIANCO']"
Bras-d'Asse,2012,"['BARREILLE', 'SAUVAN']"
Bras-sur-Meuse,2007,"['BECQ-VINCI', 'DUMONT']"
Bras-sur-Meuse,2012,"['LEONARD', 'DUMONT']"
Brasc,2007,"['MARRE', 'MARC']"
Brasc,2012,"['FOULQUIER', 'MARC']"
Brasc,2017,"['AUSTRUY', 'VIALA']"
Brasc,2022,"['RHIN', 'ROUSSET']"
Brasles,2007,"['JOURDAIN', 'VASSEUR']"
Brasles,2012,"['VASSEUR', 'KRABAL']"
Braslou,2007,"['NOVELLI', 'LE BRETON']"
Braslou,2012,"['NOVELLI', 'BAUMEL']"
Brasparts,2007,"['FERRAND', 'MENARD']"
Brasparts,2012,"['FERRAND', 'CAP']"
Brassac,2007,"['FOLLIOT', 'BRIAT', 'MASSAT', 'ROUGE', 'THOUROUDE', 'PINEL']"
Brassac,2012,"['FOLLIOT', 'PINEL', 'POUJADE', 'DULAC']"
Brassac,2017,"['FOLLIOT', 'PINEL', 'CABROLIER', 'LOPEZ']"
Brassac,2022,"['HAMELET', 'CABROLIER', 'TRIBOUT', 'ASTRUC', 'POUJADE', 'TAURINE']"
Brassac-les-Mines,2007,"['SERRE', 'BACQUET']"
Brassempouy,2007,"['EMMANUELLI', 'TAUZIN']"
Brasseuse,2012,"['CANON', 'WOERTH']"
Brassy,2007,"['PAUL', 'FREYTAG', 'GEST', 'FLEURY']"
Brassy,2012,"['PAUL', 'GEST', 'BOUCOMONT', 'QUIGNON']"
Bratte,2007,"['GIROUX', 'LE DEAUT']"
Bratte,2012,"['PIZELLE', 'LE DEAUT']"
Braud-et-Saint-Louis,2007,"['ESTRADE', 'PLISSON']"
Braud-et-Saint-Louis,2012,"['BLANC', 'PLISSON']"
Brauvilliers,2007,"['PANCHER', 'VILLEMIN']"
Brauvilliers,2012,"['PANCHER', 'ANDRE']"
Braux,2007,"['BARREILLE', 'BRET', 'DHUICQ', 'BIANCO']"
Braux,2012,"['SAUVAN', 'MOLINOZ', 'BARREILLE', 'GAUDOT', 'DHUICQ', 'SAUVADET']"
Braux-Saint-Remy,2007,"['BERTHIOT', 'APPARU']"
Braux-Saint-Remy,2012,"['APPARU', 'NAMUR']"
Braux-Sainte-Cohière,2007,"['BERTHIOT', 'APPARU']"
Braux-Sainte-Cohière,2012,"['APPARU', 'NAMUR']"
Braux-le-Châtel,2012,"['ANDRIOT', 'CHATEL']"
Brax,2007,"['DE VEYRINAS', 'DIONIS DU SEJOUR', 'DEZALOS', 'IBORRA']"
Brax,2012,"['LOUSTEAU', 'DIONIS DU SEJOUR', 'IBORRA', 'VIDAL']"
Brax,2017,"['IBORRA', 'JIMENA']"
Brax,2022,"['IBORRA', 'JOUVE']"
Bray,2007,"['VOISIN', 'RECOURS', 'NICOLAS', 'ESCHMANN']"
Bray,2012,"['THEVENOUD', 'VOISIN', 'NICOLAS', 'DESTANS']"
Bray-Dunes,2012,"['SCHEPMAN', 'DECOOL']"
Bray-Saint-Christophe,2012,"['BERTRAND', 'FERREIRA']"
Bray-en-Val,2007,"['BERNARD', 'PRAHECQ']"
Bray-en-Val,2012,"['DE GANAY', 'FROMENT']"
Bray-et-Lû,2007,"['DROLON', 'HOUILLON']"
Bray-et-Lû,2012,"['GRUNDLER', 'HOUILLON']"
Bray-lès-Mareuil,2007,"['HART', 'MATHON']"
Bray-lès-Mareuil,2012,"['BOISTARD', 'DECAYEUX']"
Bray-sur-Seine,2012,"['FIRMIN', 'JACOB']"
Bray-sur-Somme,2007,"['KUMM', 'DEMILLY']"
Bray-sur-Somme,2012,"['KUMM', 'DEMILLY']"
Braye,2007,"['JOURDAIN', 'VASSEUR']"
Braye,2012,"['VASSEUR', 'KRABAL']"
Braye-en-Laonnois,2007,"['DOSIERE', 'BLANCHARD-DOUCHAIN']"
Braye-en-Laonnois,2012,"['DOSIERE', 'KARIMET']"
Braye-en-Thiérache,2007,"['MEURA', 'BALLIGAND']"
Braye-en-Thiérache,2012,"['MEURA', 'BRICOUT']"
Braye-sous-Faye,2007,"['NOVELLI', 'LE BRETON']"
Braye-sous-Faye,2012,"['NOVELLI', 'BAUMEL']"
Braye-sur-Maulne,2007,"['ROIRON', 'BRIAND']"
Braye-sur-Maulne,2012,"['ROIRON', 'BRIAND']"
Brazey-en-Morvan,2012,"['SUGUENOT', 'CADOUX']"
Brazey-en-Plaine,2012,"['SUGUENOT', 'CADOUX']"
Brebières,2007,"['GENISSON', 'ZIOLKOWSKI']"
Brebières,2012,"['COTTEL', 'PETIT']"
Brebotte,2007,"['MESLOT', 'FORCINAL']"
Brebotte,2012,"['MESLOT', 'FORCINAL']"
Brech,2007,"['LE MAGUERESSE', 'GRALL']"
Brech,2012,"['LE MAGUERESSE', 'LE RAY']"
Brechainville,2007,"['FRANQUEVILLE', 'GAULTIER']"
Brechainville,2012,"['FRANQUEVILLE', 'GAULTIER']"
Breconchaux,2007,"['GROSPERRIN', 'DUFAY']"
Breconchaux,2012,"['GROSPERRIN', 'ALAUZET']"
Brectouville,2007,"['GOSSELIN', 'DESCHAMPS']"
Brectouville,2012,"['GOSSELIN', 'LE COZ']"
Breidenbach,2012,"['DUFFLO', 'LETT']"
Breil,2012,"['MARCHAND', 'TAUGOURDEAU']"
Breil-sur-Roya,2012,"['GUIBAL', 'SCHENARDI']"
Breilly,2007,"['GREMETZ', 'BOURGOIS']"
Breilly,2012,"['BOISTARD', 'DECAYEUX']"
Breistroff-la-Grande,2007,"['DEMANGE', 'MERTZ']"
Breistroff-la-Grande,2012,"['GROMMERCH-BRANDENBURGER', 'MERTZ']"
Breitenau,2012,"['HERTH', 'EHRET']"
Breitenbach,2012,"['HERTH', 'EHRET']"
Breitenbach-Haut-Rhin,2012,"['CHRIST', 'STOLL']"
Brem-sur-Mer,2012,"['MOREAU', 'GUEDON']"
Bremondans,2012,"['LUCCHESI', 'GENEVARD']"
Bren,2007,"['COUTARD', 'BIANCHERI']"
Bren,2012,"['NIESON', 'THORAVAL']"
Brenac,2007,"['SALVIGNOL', 'DUPRE']"
Brenac,2012,"['DUPRE', 'BRESSON']"
Brenas,2007,"['LECOU', 'MOURE']"
Brenas,2012,"['MESQUIDA', 'CALANDRI']"
Brenas,2017,"['ARDINAT', 'HUPPÉ']"
Brenas,2022,"['POLARD', 'GALZY']"
Brenat,2007,"['SERRE', 'BACQUET']"
Brenelle,2007,"['JOURDAIN', 'VASSEUR']"
Brenelle,2012,"['VASSEUR', 'KRABAL']"
Brengues,2007,"['MARTIGNAC', 'LAUNAY']"
Brengues,2017,"['LABARTHE', 'TIEGNA']"
Brengues,2022,"['GROSSEMY', 'PROENÇA']"
Brennes,2012,"['ANDRIOT', 'CHATEL']"
Brennilis,2007,"['FERRAND', 'MENARD']"
Brennilis,2012,"['FERRAND', 'CAP']"
Brenon,2012,"['AUDIBERT-TROIN', 'CLAP']"
Brenouille,2012,"['GEWERC', 'COURTIAL']"
Brenoux,2007,"['CHAZAL', 'SAINT LEGER']"
Brenoux,2012,"[""MOREL-A-L'HUISSIER"", 'PANTEL']"
Brenoux,2017,"['PALOMBI', ""MOREL A L'HUISSIER""]"
Brenoux,2022,"['DESCAVES', ""MOREL A L'HUISSIER""]"
Brens,2007,"['BLANC', 'RIGAUD', 'CARCENAC', 'REVEILLON']"
Brens,2012,"['BLANC', 'VALAX', 'FOGNINI', 'BOUTONNET']"
Brens,2017,"['ALBARAO', 'VERDIER-JOUCLAS']"
Brens,2022,"['VERDIER-JOUCLAS', 'ERODI']"
Brenthonne,2007,"['FRANCINA', 'VERGUET']"
Brenthonne,2012,"['FRANCINA', 'ESCOUBES']"
Breny,2007,"['JOURDAIN', 'VASSEUR']"
Breny,2012,"['VASSEUR', 'KRABAL']"
Bresdon,2007,"['DE ROUX', 'QUERE']"
Bresdon,2012,"['NEVEU', 'QUERE']"
Bresilley,2012,"['CHRETIEN', 'CHAUVELOT-DUBAN']"
Bresle,2007,"['GEST', 'FLEURY']"
Bresle,2012,"['GEST', 'QUIGNON']"
Bresles,2007,"['ROME', 'DASSAULT']"
Bresles,2012,"['LEJEUNE', 'DASSAULT']"
Bresnay,2007,"['MALLOT', 'SIMON']"
Bresnay,2012,"['PERISSOL', 'CHAMBEFORT']"
Bresolettes,2012,"['EL MANAA', 'LOUWAGIE']"
Bresse-sur-Grosne,2007,"['JUILLOT', 'SIRUGUE']"
Bresse-sur-Grosne,2012,"['DANJEAN', 'UNTERMAIER']"
Bressey-sur-Tille,2007,"['BEAUDOUVI', 'DARCIAUX']"
Bressey-sur-Tille,2012,"['CARAVEL', 'BOUZIANE']"
Bressieux,2012,"['RAMBAUD', 'BARBIER']"
Bressolles,2007,"['PERISSOL', 'CHAMBEFORT']"
Bressolles,2012,"['DE LA VERPILLIERE', 'PERISSOL', 'CHAMBEFORT', 'RAYMOND']"
Bressols,2007,"['PINEL', 'BRIAT']"
Bressols,2012,"['PINEL', 'DULAC']"
Bressols,2017,"['PINEL', 'LOPEZ']"
Bressols,2022,"['HAMELET', 'ASTRUC']"
Bresson,2007,"['ISSINDOU', 'SAVOUREUX']"
Bresson,2012,"['VICENTE', 'ISSINDOU']"
Bressuire,2007,"['GRELLIER', 'PAILLE']"
Bressuire,2012,"['GRELLIER', 'MOUILLER']"
Brest,2007,"['LAMOUR', 'LE BORGNE', 'ADAM', 'CUILLANDRE']"
Brest,2012,"['LAMOUR', 'BERTHELOT', 'ADAM', 'BLEUNVEN']"
Brestot,2012,"['MORIN', 'MAMMERI']"
Bretagne,2007,"['CHANTEGUET', 'POUSSET', 'MESLOT', 'FORCINAL']"
Bretagne,2012,"['FORISSIER', 'BRUNEAU', 'MESLOT', 'FORCINAL']"
Bretagne-d'Armagnac,2007,"['DUBRAC', 'BIEMOURET']"
Bretagne-d'Armagnac,2012,"['DUBRAC', 'BIEMOURET']"
Bretagne-d'Armagnac,2017,"['SOCCIO', 'BIÉMOURET']"
Bretagne-d'Armagnac,2022,"['BOURCIER', 'TAUPIAC']"
Bretagne-de-Marsan,2007,"['VIDALIES', 'BERTHELON']"
Bretagne-de-Marsan,2012,"['VIDALIES', 'DUDON']"
Bretagnolles,2007,"['MANSOURET', 'LE MAIRE']"
Bretagnolles,2012,"['CHAMPREDON', 'LE MAIRE']"
Breteau,2012,"['DE GANAY', 'FROMENT']"
Breteil,2007,"['ROUAULT', 'ROGEMONT']"
Breteil,2012,"['ROUAULT', 'ANDRE']"
Bretenière,2007,"['BEAUDOUVI', 'DARCIAUX']"
Bretenière,2012,"['CARAVEL', 'BOUZIANE']"
Bretenière (La),2007,"['SERMIER', 'VIVERGE']"
Bretenière (La),2012,"['LAROCHE', 'SERMIER']"
Bretenières,2007,"['SERMIER', 'VIVERGE']"
Bretenières,2012,"['LAROCHE', 'SERMIER']"
Bretenoux,2007,"['MARTIGNAC', 'LAUNAY']"
Bretenoux,2017,"['LABARTHE', 'TIEGNA']"
Bretenoux,2022,"['GROSSEMY', 'PROENÇA']"
Breteuil,2007,"['ROME', 'DASSAULT', 'MANSOURET', 'LE MAIRE']"
Breteuil,2012,"['CHAMPREDON', 'LEJEUNE', 'LE MAIRE', 'DASSAULT']"
Brethel,2012,"['EL MANAA', 'LOUWAGIE']"
Brethenay,2012,"['ANDRIOT', 'CHATEL']"
Bretigney,2007,"['PARRENIN', 'BONNOT']"
Bretigney,2012,"['BONNOT', 'MARTHEY']"
Bretigney-Notre-Dame,2007,"['PARRENIN', 'BONNOT']"
Bretigney-Notre-Dame,2012,"['BONNOT', 'MARTHEY']"
Bretignolles,2007,"['GRELLIER', 'PAILLE']"
Bretignolles,2012,"['GRELLIER', 'MOUILLER']"
Bretignolles-sur-Mer,2012,"['MOREAU', 'GUEDON']"
Bretigny,2007,"['DELATTE', 'POPARD']"
Bretigny,2012,"['DELATTE', 'PRIBETICH']"
Bretoncelles,2012,"['EL MANAA', 'LOUWAGIE']"
Bretonvillers,2012,"['LUCCHESI', 'GENEVARD']"
Brette,2007,"['MARITON', 'GREGOIRE']"
Brette,2012,"['RASCLARD', 'MARITON']"
Brette-les-Pins,2007,"['LORILLEUX', 'PAVY']"
Brette-les-Pins,2012,"['PAVY-MORANCAIS', 'CHAUVEAU']"
Brettes,2007,"['FOMBARON', 'LAMBERT']"
Bretteville,2007,"['CAZENEUVE', 'LEMIERE']"
Bretteville-Saint-Laurent,2007,"['TRASSY-PAILLOGUES', 'CHAUVEL']"
Bretteville-Saint-Laurent,2012,"['TRASSY-PAILLOGUES', 'CHAUVEL']"
Bretteville-du-Grand-Caux,2007,"['GRELIER', 'FIDELIN']"
Bretteville-du-Grand-Caux,2012,"['GRELIER', 'FIDELIN']"
Bretteville-l'Orgueilleuse,2007,"['LE BRETHON', 'DURON']"
Bretteville-l'Orgueilleuse,2012,"['BRUNEAU', 'DURON']"
Bretteville-le-Rabet,2007,"['LETEURTRE', 'VALTER']"
Bretteville-le-Rabet,2012,"['LETEURTRE', 'VALTER']"
Bretteville-sur-Ay,2007,"['JOURDAIN MENNINGER', 'COUSIN']"
Bretteville-sur-Ay,2012,"['TRAVERT', 'COUSIN']"
Bretteville-sur-Dives,2007,"['LETEURTRE', 'VALTER']"
Bretteville-sur-Dives,2012,"['LETEURTRE', 'VALTER']"
Bretteville-sur-Laize,2007,"['LETEURTRE', 'VALTER']"
Bretteville-sur-Laize,2012,"['LETEURTRE', 'VALTER']"
Bretteville-sur-Odon,2007,"['LE BRETHON', 'DURON']"
Bretteville-sur-Odon,2012,"['BRUNEAU', 'DURON']"
Brettnach,2007,"['FILIPPETTI', 'MISSOFFE']"
Brettnach,2012,"['WOJCIECHOWSKI', 'ZANETTI']"
Bretx,2007,"['CARNEIRO', 'IMBERT']"
Bretx,2012,"['CARNEIRO', 'IMBERT']"
Bretx,2017,"['PORTARRIEU', 'LEONARDELLI']"
Bretx,2022,"['ESPAGNOLLE', 'PORTARRIEU']"
Breuches,2012,"['RAISON', 'VILLAUME']"
Breuchotte,2012,"['RAISON', 'VILLAUME']"
Breugnon,2007,"['PAUL', 'FREYTAG']"
Breugnon,2012,"['PAUL', 'BOUCOMONT']"
Breuil,2007,"['GEST', 'VAUTRIN', 'HAZAN', 'FLEURY']"
Breuil,2012,"['VAUTRIN-PENNAFORTE', 'KUMM', 'DEMILLY', 'QUENARD']"
Breuil-Barret,2012,"['FOURAGE', 'SARLOT']"
Breuil-Bois-Robert,2012,"['SATOURI', 'TETART']"
Breuil-Magné,2007,"['LEONARD', 'BONNIN']"
Breuil-Magné,2012,"['TALLARD', 'LEONARD']"
Breuil-la-Réorte,2007,"['LEONARD', 'BONNIN']"
Breuil-la-Réorte,2012,"['TALLARD', 'LEONARD']"
Breuil-le-Sec,2012,"['GEWERC', 'COURTIAL']"
Breuil-le-Vert,2012,"['GEWERC', 'COURTIAL']"
Breuilaufa,2007,"['MARTINEAU', 'PEROL-DUMONT']"
Breuilaufa,2012,"['GABOUTY', 'BEAUBATIE']"
Breuilh,2007,"['BOUSQUET', 'PEIRO']"
Breuillet,2007,"['ZINS', 'COLOT']"
Breuillet,2012,"['POUZOL', 'COLOT', 'QUENTIN', 'FERCHAUD']"
Breuilpont,2007,"['MANSOURET', 'LE MAIRE']"
Breuilpont,2012,"['CHAMPREDON', 'LE MAIRE']"
Breurey-lès-Faverney,2012,"['CHRETIEN', 'CHAUVELOT-DUBAN']"
Breuschwickersheim,2012,"['SOCCIO', 'ROHFRITSCH']"
Breuvannes-en-Bassigny,2012,"['ANDRIOT', 'CHATEL']"
Breuvery-sur-Coole,2012,"['DE COURSON', 'DOREMUS']"
Breuville,2007,"['GATIGNOL', 'DRUEZ']"
Breuville,2012,"['TRAVERT', 'COUSIN']"
Breux,2007,"['BECQ-VINCI', 'DUMONT']"
Breux,2012,"['LEONARD', 'DUMONT']"
Breux-Jouy,2007,"['ZINS', 'COLOT']"
Breux-Jouy,2012,"['POUZOL', 'COLOT']"
Breux-sur-Avre,2007,"['MANSOURET', 'LE MAIRE']"
Breux-sur-Avre,2012,"['CHAMPREDON', 'LE MAIRE']"
Brevans,2007,"['SERMIER', 'VIVERGE']"
Brevans,2012,"['LAROCHE', 'SERMIER']"
Brevilliers,2007,"['BRIOT', 'VILLAUMÉ']"
Brevilliers,2012,"['RAISON', 'VILLAUME']"
Brey-et-Maison-du-Bois,2012,"['LUCCHESI', 'GENEVARD']"
Brezolles,2007,"['HAMEL', 'HESSEL']"
Brezolles,2012,"['MARLEIX', 'BOULLAIS']"
Brianny,2012,"['MOLINOZ', 'SAUVADET']"
Briant,2007,"['NESME', 'REBILLARD']"
Briant,2012,"['NESME', 'GUEUGNEAU']"
Briantes,2007,"['FORISSIER', 'BECHTEL']"
Briantes,2012,"['FORISSIER', 'BRUNEAU']"
Briançon,2007,"['GIRAUD', 'BAYROU']"
Briançon,2012,"['GIRAUD', 'EYMEOUD']"
Briançonnet,2012,"['ASCHIERI', 'GINESY']"
Briare,2012,"['DE GANAY', 'FROMENT']"
Briarres-sur-Essonne,2007,"['CANETTE', 'CHARIE']"
Briarres-sur-Essonne,2012,"['CANETTE', 'DUBOIS']"
Brias,2007,"['MAGNIER', 'LEROY']"
Brias,2012,"['COTTEL', 'PETIT']"
Briastre,2007,"['LESNE', 'BATAILLE']"
Briastre,2012,"['LEVEQUE', 'BATAILLE']"
Briatexte,2007,"['CARCENAC', 'REVEILLON']"
Briatexte,2012,"['VALAX', 'BOUTONNET']"
Briatexte,2017,"['ALBARAO', 'VERDIER-JOUCLAS']"
Briatexte,2022,"['VERDIER-JOUCLAS', 'ERODI']"
Briaucourt,2012,"['RAISON', 'VILLAUME', 'CORNUT-GENTILLE', 'MAILLOT']"
Bricon,2012,"['ANDRIOT', 'CHATEL']"
Briconville,2007,"['GORGES', 'VALLET']"
Briconville,2012,"['LEBON', 'GORGES']"
Bricquebec,2007,"['GATIGNOL', 'DRUEZ']"
Bricquebec,2012,"['TRAVERT', 'COUSIN']"
Bricquebosq,2007,"['GATIGNOL', 'DRUEZ']"
Bricquebosq,2012,"['TRAVERT', 'COUSIN']"
Bricqueville,2007,"['LEFRANC', 'LE MOAL']"
Bricqueville,2012,"['ATTARD', 'NOUVELOT']"
Bricqueville-la-Blouette,2007,"['JOURDAIN MENNINGER', 'COUSIN']"
Bricqueville-la-Blouette,2012,"['TRAVERT', 'COUSIN']"
Bricqueville-sur-Mer,2007,"['JOURDAIN MENNINGER', 'COUSIN']"
Bricqueville-sur-Mer,2012,"['TRAVERT', 'COUSIN']"
Bricy,2007,"['CHAILLOU', 'GROUARD']"
Bricy,2012,"['CHAILLOU', 'GROUARD']"
Brides-les-Bains,2012,"['RIEU', 'GAYMARD']"
Bridoré,2007,"['DESCAMPS', 'TOURAINE']"
Bridoré,2012,"['TOURAINE', 'BARBIER']"
Brie,2007,"['PINVILLE', 'MOTTET', 'BLANCHARD-DOUCHAIN', 'NAYROU', 'PAILLE', 'CALLEJA', 'KUMM', 'DOSIERE', 'GRELLIER', 'DEMILLY']"
Brie,2012,"['DEMILLY', 'LORAY', 'CALLEJA', 'KARIMET', 'KUMM', 'DOSIERE', 'FAURÉ', 'GRELLIER', 'MOUILLER', 'LE CALLENNEC']"
Brie,2022,"['LARIVE', 'PANIFOUS']"
Brie-Comte-Robert,2007,"['HEUCLIN', 'GEOFFROY']"
Brie-Comte-Robert,2012,"['GEOFFROY', 'PODEVYN']"
Brie-sous-Archiac,2012,"['DUGAS-RAVENEAU', 'BUSSEREAU']"
Brie-sous-Barbezieux,2007,"['REYNAUD', 'MOUHOT']"
Brie-sous-Barbezieux,2012,"['SAUVAITRE', 'REYNAUD']"
Brie-sous-Chalais,2007,"['FAURY', 'VIOLLET']"
Brie-sous-Chalais,2012,"['SAUVAITRE', 'REYNAUD']"
Brie-sous-Matha,2007,"['DE ROUX', 'QUERE']"
Brie-sous-Matha,2012,"['NEVEU', 'QUERE']"
Brie-sous-Mortagne,2012,"['DUGAS-RAVENEAU', 'BUSSEREAU']"
Briec,2007,"['RAMONET', 'URVOAS']"
Briec,2012,"['FONTAINE', 'URVOAS']"
Briel-sur-Barse,2007,"['AYADI', 'MATHIS']"
Briel-sur-Barse,2012,"['MATHIS', 'FOURNIER']"
Brielles,2012,"['LORAY', 'LE CALLENNEC']"
Brienne,2007,"['MONTEBOURG', 'DANJEAN']"
Brienne,2012,"['DANJEAN', 'UNTERMAIER']"
Brienne-la-Vieille,2007,"['BRET', 'DHUICQ']"
Brienne-la-Vieille,2012,"['GAUDOT', 'DHUICQ']"
Brienne-le-Château,2007,"['BRET', 'DHUICQ']"
Brienne-le-Château,2012,"['GAUDOT', 'DHUICQ']"
Brienne-sur-Aisne,2007,"['POLETTI', 'LEDOUX']"
Brienne-sur-Aisne,2012,"['POLETTI', 'LEDOUX']"
Briennon,2007,"['NICOLIN', 'DEROCHE']"
Briennon,2012,"['NICOLIN', 'DEROCHE']"
Brienon-sur-Armançon,2007,"['PARIS', 'FORT']"
Brienon-sur-Armançon,2012,"['ROLLAND', 'CAULLET']"
Brieuil-sur-Chizé,2007,"['GRIFFAULT', 'BATHO']"
Brieulles-sur-Meuse,2007,"['BECQ-VINCI', 'DUMONT']"
Brieulles-sur-Meuse,2012,"['LEONARD', 'DUMONT']"
Brieux,2012,"['NURY', 'GOASDOUE']"
Briey,2007,"['GIROUX', 'LE DEAUT']"
Briey,2012,"['ECKERT', 'MANGEOT']"
Briffons,2007,"['LACOMBE', ""GISCARD D'ESTAING""]"
Briffons,2012,"['MULLER', 'PIRES BEAUNE']"
Brignac,2007,"['LECOU', 'BOUVARD', 'MOURE', 'LE MARRE']"
Brignac,2012,"['CALANDRI', 'GUEANT', 'MESQUIDA', 'MOLAC']"
Brignac,2017,"['ARDINAT', 'HUPPÉ']"
Brignac,2022,"['POLARD', 'GALZY']"
Brignac-la-Plaine,2007,"['SOULIER', 'NAUCHE']"
Brignac-la-Plaine,2012,"['COSTE', 'NAUCHE']"
Brignais,2007,"['PERRIN', 'GUILLOTEAU']"
Brignais,2012,"['PERRIN', 'GUILLOTEAU']"
Brignancourt,2007,"['DROLON', 'HOUILLON']"
Brignancourt,2012,"['GRUNDLER', 'HOUILLON']"
Brignemont,2007,"['CARNEIRO', 'IMBERT']"
Brignemont,2012,"['IBORRA', 'VIDAL']"
Brignemont,2017,"['IBORRA', 'JIMENA']"
Brignemont,2022,"['IBORRA', 'JOUVE']"
Brignogan-Plages,2007,"['GUITTET', 'LE GUEN']"
Brignogan-Plages,2012,"['GUITTET', 'LE GUEN']"
Brignoles,2012,"['PONS', 'MALCOR DEYDIER DE PIERREF']"
Brignon,2007,"['MALAVIEILLE', 'ROUSTAN']"
Brignon,2012,"['VERDIER', 'ROUSTAN']"
Brignon,2017,"['ROULLAUD', 'CHAPELIER']"
Brignon,2022,"['MEURIN', 'BORD']"
Brigné,2012,"['SARAMITO', 'PIRON']"
Brigueil-le-Chantre,2007,"['HERBERT', 'CLEMENT']"
Brigueil-le-Chantre,2012,"['DELANNOY', 'CLEMENT']"
Brigueuil,2007,"['FOMBARON', 'LAMBERT']"
Briis-sous-Forges,2007,"['THOMAS', 'KOSCIUSKO-MORIZET']"
Briis-sous-Forges,2012,"['THOMAS', 'KOSCIUSKO-MORIZET']"
Brillac,2007,"['FOMBARON', 'LAMBERT']"
Brillecourt,2007,"['BRET', 'DHUICQ']"
Brillecourt,2012,"['GAUDOT', 'DHUICQ']"
Brillevast,2007,"['CAZENEUVE', 'LEMIERE']"
Brillon,2007,"['BOCQUET', 'GARCIA']"
Brillon,2012,"['BOCQUET', 'BETEGNIES']"
