Libelle_commune,Annee,Candidats
Achery,2012,"['DOSIERE', 'KARIMET']"
Acheux-en-Amiénois,2007,"['KUMM', 'DEMILLY']"
Acheux-en-Amiénois,2012,"['KUMM', 'DEMILLY']"
Acheux-en-Vimeu,2007,"['PEILLON', 'BIGNON']"
Acheux-en-Vimeu,2012,"['BUISINE', 'BIGNON']"
Acheville,2007,"['GENISSON', 'ZIOLKOWSKI']"
Acheville,2012,"['MAQUET', 'PRESTAUX']"
Achey,2012,"['CHRETIEN', 'CHAUVELOT-DUBAN']"
Achicourt,2007,"['RAPENEAU', 'MAQUET']"
Achicourt,2012,"['MAQUET', 'PRESTAUX']"
Achiet-le-Grand,2007,"['RAPENEAU', 'MAQUET']"
Achiet-le-Grand,2012,"['COTTEL', 'PETIT']"
Achiet-le-Petit,2007,"['RAPENEAU', 'MAQUET']"
Achiet-le-Petit,2012,"['COTTEL', 'PETIT']"
Achun,2007,"['PAUL', 'FREYTAG']"
Achun,2012,"['PAUL', 'BOUCOMONT']"
Achy,2007,"['ROME', 'DASSAULT']"
Achy,2012,"['LEJEUNE', 'DASSAULT']"
Achères,2007,"['FELIX', 'FROMION']"
Achères,2012,"['BEZOUI', 'AIT', 'MORANGE', 'FROMION']"
Achères-la-Forêt,2007,"['VALLETOUX', 'JULIA']"
Achères-la-Forêt,2012,"['SARKISSIAN', 'LACROUTE']"
Acigné,2012,"['APPERE', 'PLOUVIER']"
Aclou,2007,"['RECOURS', 'NICOLAS']"
Aclou,2012,"['NICOLAS', 'DESTANS']"
Acon,2007,"['MANSOURET', 'LE MAIRE']"
Acon,2012,"['CHAMPREDON', 'LE MAIRE']"
Acoua,2012,"['OMAR OILI', 'SAID']"
Acq,2007,"['GENISSON', 'ZIOLKOWSKI']"
Acq,2012,"['MAQUET', 'PRESTAUX']"
Acqueville,2007,"['TOURRET', 'GATIGNOL', 'DRUEZ', 'COUSIN']"
Acqueville,2012,"['TOURRET', 'COUSIN']"
Acquigny,2007,"['MIQUEL', 'LONCLE']"
Acquigny,2012,"['PRIOLLAUD', 'LONCLE']"
Acquin-Westbécourt,2007,"['MAGNIER', 'LEROY']"
Acquin-Westbécourt,2012,"['BOURGUIGNON', 'WACHEUX']"
Acy,2007,"['JOURDAIN', 'VASSEUR']"
Acy,2012,"['VASSEUR', 'KRABAL']"
Acy-Romance,2007,"['POLETTI', 'LEDOUX']"
Acy-Romance,2012,"['POLETTI', 'LEDOUX']"
Acy-en-Multien,2012,"['CANON', 'WOERTH']"
Adaincourt,2012,"['WOJCIECHOWSKI', 'ZANETTI']"
Adainville,2012,"['SATOURI', 'TETART']"
Adam-lès-Passavant,2007,"['PARRENIN', 'BONNOT']"
Adam-lès-Passavant,2012,"['BONNOT', 'MARTHEY']"
Adam-lès-Vercel,2012,"['LUCCHESI', 'GENEVARD']"
Adamswiller,2012,"['HETZEL', 'CARBIENER']"
Adast,2007,"['TREMEGE', 'ROBIN-RODRIGO']"
Adast,2012,"['DUBIE', 'ARTIGANAVE']"
Adast,2017,"['DUBIÉ', 'STARICKY']"
Adast,2022,"['KORN', 'MOURNET']"
Adelange,2012,"['WOJCIECHOWSKI', 'ZANETTI']"
Adelans-et-le-Val-de-Bithaine,2007,"['BRIOT', 'VILLAUMÉ']"
Adelans-et-le-Val-de-Bithaine,2012,"['RAISON', 'VILLAUME']"
Adervielle-Pouchergues,2007,"['FORGUES', 'LAMON']"
Adervielle-Pouchergues,2012,"['GLAVANY', 'TREMEGE']"
Adervielle-Pouchergues,2017,"['SEMPASTOUS', 'FERRER']"
Adervielle-Pouchergues,2022,"['SEMPASTOUS', 'FERRER']"
Adinfer,2007,"['RAPENEAU', 'MAQUET']"
Adinfer,2012,"['COTTEL', 'PETIT']"
Adissan,2007,"['ROQUES', 'MESQUIDA']"
Adissan,2012,"['MESQUIDA', 'CALANDRI']"
Adissan,2017,"['ARDINAT', 'HUPPÉ']"
Adissan,2022,"['POLARD', 'GALZY']"
Adon,2012,"['DE GANAY', 'FROMENT']"
Adriers,2007,"['HERBERT', 'CLEMENT']"
Adriers,2012,"['DELANNOY', 'CLEMENT']"
Adé,2007,"['TREMEGE', 'ROBIN-RODRIGO']"
Adé,2012,"['DUBIE', 'ARTIGANAVE']"
Adé,2017,"['DUBIÉ', 'STARICKY']"
Adé,2022,"['KORN', 'MOURNET']"
Afa,2007,"['CORTEY', 'RENUCCI']"
Afa,2012,"['MARCANGELI', 'RENUCCI']"
Affieux,2007,"['DUPONT', 'LECLERC']"
Affléville,2007,"['GIROUX', 'LE DEAUT']"
Affléville,2012,"['PIZELLE', 'LE DEAUT']"
Affoux,2012,"['MC CARRON', 'VERCHERE']"
Affracourt,2007,"['MORANO', 'PILOT']"
Affracourt,2012,"['POTIER', 'MORANO']"
Affringues,2007,"['MAGNIER', 'LEROY']"
Affringues,2012,"['BOURGUIGNON', 'WACHEUX']"
"Afrique Centre, Sud et Est",2012,"['MARSAUD', 'CHAOUI']"
Afrique Nord-Ouest,2012,"['DOUKALI', 'AMIRSHAHI']"
Agassac,2007,"['BOULET RIBET', 'IDIART']"
Agassac,2017,"['MONTSARRAT', 'AVIRAGNET']"
Agassac,2022,"['DELCHARD', 'AVIRAGNET']"
Agde,2007,"[""D'ETTORE"", 'LIBERTI']"
Agde,2012,"[""D'ETTORE"", 'DENAJA']"
Agde,2017,"['EUZET', 'ROQUES']"
Agde,2022,"['BLASCO', 'LOPEZ LIGUORI']"
Agel,2007,"['ROQUES', 'MESQUIDA']"
Agel,2012,"['MESQUIDA', 'CALANDRI']"
Agel,2017,"['ARDINAT', 'HUPPÉ']"
Agel,2022,"['POLARD', 'GALZY']"
Agen,2007,"['DEZALOS', 'DIONIS DU SEJOUR']"
Agen,2012,"['LOUSTEAU', 'DIONIS DU SEJOUR']"
Agen-d'Aveyron,2007,"['MARRE', 'MARC']"
Agen-d'Aveyron,2012,"['FOULQUIER', 'MARC']"
Agen-d'Aveyron,2017,"['AUSTRUY', 'VIALA']"
Agen-d'Aveyron,2022,"['RHIN', 'ROUSSET']"
Agencourt,2012,"['SUGUENOT', 'CADOUX']"
Agenville,2007,"['HART', 'MATHON']"
Agenville,2012,"['GEST', 'QUIGNON']"
Agenvillers,2007,"['HART', 'MATHON']"
Agenvillers,2012,"['BUISINE', 'BIGNON']"
Ageville,2012,"['ANDRIOT', 'CHATEL']"
Agey,2012,"['MOLINOZ', 'SAUVADET']"
Aghione,2007,"['GIACOBBI', 'GRIMALDI']"
Aghione,2012,"['GIACOBBI', 'GRIMALDI']"
Agincourt,2007,"['HENART', 'KLEIN']"
Agincourt,2012,"['HENART', 'KHIROUNI']"
Agmé,2007,"['DIEFENBACHER', 'GOUZES']"
Agmé,2012,"['DIEFENBACHER', 'FEKL']"
Agnac,2007,"['DIEFENBACHER', 'GOUZES']"
Agnac,2012,"['DIEFENBACHER', 'FEKL']"
Agnat,2007,"['CHAPAVEIRE', 'PRORIOL']"
Agnat,2012,"['CHAPAVEIRE', 'VIGIER']"
Agneaux,2007,"['GOSSELIN', 'DESCHAMPS']"
Agneaux,2012,"['GOSSELIN', 'LE COZ']"
Agnetz,2012,"['GEWERC', 'COURTIAL']"
Agnez-lès-Duisans,2007,"['RAPENEAU', 'MAQUET']"
Agnez-lès-Duisans,2012,"['COTTEL', 'PETIT']"
Agnicourt-et-Séchelles,2007,"['MEURA', 'BALLIGAND']"
Agnicourt-et-Séchelles,2012,"['MEURA', 'BRICOUT']"
Agnin,2007,"['REMILLER', 'BINET']"
Agnin,2012,"['RAMBAUD', 'BARBIER']"
Agnières,2007,"['MAGNIER', 'LEROY']"
Agnières,2012,"['COTTEL', 'PETIT']"
Agnières-en-Dévoluy,2007,"['MARTINEZ', 'BERGER']"
Agnières-en-Dévoluy,2012,"['COINTE', 'BERGER']"
Agnos,2007,"['DOMECQ', 'LASSALLE']"
Agnos,2012,"['MAITIA', 'LASSALLE']"
Agny,2007,"['RAPENEAU', 'MAQUET']"
Agny,2012,"['MAQUET', 'PRESTAUX']"
